class,year,longitude,latitude,kategori,B2,B3,B4,B8,B11,B12,NDVI,NDWI,NDBI,BSI,NDTI
0,2025,122.14275702977103,-2.880274261518069,darat,0.0359,0.057,0.0348,0.2396,0.1325,0.0662,0.7463557,-0.615644,-0.28782588,-0.24435413,-0.24183007
0,2025,122.14893683934136,-2.8953612791555927,darat,0.035,0.0439,0.0266,0.2227,0.135,0.0627,0.7866025,-0.67066765,-0.2451775,-0.2291915,-0.2453901
0,2025,122.14619025731012,-2.909076575408442,darat,0.0389,0.0578,0.0304,0.2896,0.1381,0.0579,0.81,-0.6672424,-0.35422027,-0.3219316,-0.3106576
0,2025,122.1674762680523,-2.891246657864011,darat,0.0376,0.0602,0.0303,0.2526,0.1503,0.0661,0.78579,-0.61508954,-0.2539092,-0.23279527,-0.33038673
0,2025,122.11117133641169,-2.852157014276689,darat,0.073,0.0903,0.0583,0.3028,0.1632,0.0782,0.67709774,-0.5405749,-0.2995708,-0.25832912,-0.2153432
0,2025,122.10430488133356,-2.8158093110878233,darat,0.057,0.0696,0.0656,0.2349,0.2313,0.1379,0.5633943,-0.5428571,-0.007722011,0.008491846,-0.029585803
0,2025,122.09331855320856,-2.9262204610202547,darat,0.0336,0.053,0.0302,0.271,0.1685,0.0753,0.79946876,-0.6728395,-0.23321955,-0.21041127,-0.27403843
0,2025,122.0967517807476,-2.9344494330707045,darat,0.0166,0.0323,0.0165,0.2659,0.1309,0.0552,0.8831445,-0.78336686,-0.34022176,-0.3142591,-0.3237705
0,2025,122.0967517807476,-2.960507444079033,darat,0.0464,0.07145,0.0519,0.33935,0.2023,0.11805,0.7346965,-0.65214217,-0.25302315,-0.20556292,-0.15849212
0,2025,122.10430488133356,-2.9680504383807684,darat,0.0195,0.0346,0.0179,0.2348,0.1157,0.0488,0.85833,-0.7431329,-0.33980027,-0.31116268,-0.31809527
0,2025,122.16610297703669,-2.9879362671281076,darat,0.03805,0.05595,0.0286,0.31975,0.16465,0.06765,0.8357973,-0.702156,-0.32018995,-0.29861176,-0.32347724
0,2025,122.17777595066948,-2.96873616258434,darat,0.0301,0.054,0.0272,0.3712,0.1772,0.0727,0.8634538,-0.7460019,-0.35375637,-0.3250784,-0.33004928
0,2025,122.11597785496636,-2.9262204610202547,darat,0.0215,0.04,0.0216,0.2655,0.1406,0.0614,0.8495298,-0.7381342,-0.30755973,-0.27782726,-0.2987013
0,2025,122.10567817234916,-2.8857604729312696,darat,0.0201,0.0374,0.0207,0.2164,0.1274,0.0588,0.8253901,-0.70527977,-0.25887144,-0.2298492,-0.28743544
0,2025,122.0905719711773,-2.890560886197288,darat,0.0225,0.0407,0.0272,0.2579,0.1412,0.0638,0.80918974,-0.7273945,-0.2924079,-0.24955435,-0.19882178
0,2025,122.08919868016169,-2.859700733733479,darat,0.05125,0.0733,0.04335,0.30235,0.1675,0.0779,0.7492045,-0.6097431,-0.2870065,-0.25290108,-0.25675094
0,2025,122.08851203465386,-2.9728504988645215,darat,0.02485,0.0382,0.0257,0.2296,0.1652,0.07555,0.79866827,-0.7147125,-0.16312058,-0.14269677,-0.19561815
0,2025,122.06928596043512,-2.9406211223603353,darat,0.0214,0.0413,0.01845,0.3014,0.142,0.0592,0.8846334,-0.7589729,-0.3594948,-0.3359545,-0.38242677
0,2025,122.08301887059136,-2.9406211223603353,darat,0.0406,0.0499,0.0312,0.3099,0.1652,0.0733,0.81706244,-0.72262365,-0.30456746,-0.28176996,-0.23057954
0,2025,122.08301887059136,-2.928963458424712,darat,0.0272,0.0456,0.0224,0.2148,0.1106,0.046,0.81112987,-0.6497696,-0.32022125,-0.29066667,-0.34117648
